Date,Zoom,Study,Sleep,Water Bottle,Listening music,Day ,Happiness,Steps
08-01-2024,3,1,6,3,0,Happy,5,15990
09-01-2024,3,2,6,2,1,Confused,4,10185
10-01-2024,6,1,5,4,0,Busy,5,6047
11-01-2024,6,2,5,5,0,Busy,4,8193
12-01-2024,2,4,7,7,1,Average,4,6000
13-01-2024,0,0,8,2,1,Sad,1,7000
14-01-2024,0,2,8,6,1,Happy,2,7330
15-01-2024,3,1,6,6,1,Sad,3,12711
16-01-2024,3,3,6,4,1, Average,3,7212
17-01-2024,6,0,4,8,1,Busy,5,6249
18-01-2024,6,0,5,8,0,Busy,3,8114
19-01-2024,2,5,6,4,1,Happy,2,5181
20-01-2024,0,4,8,3,1,Happy,5,3982
21-01-2024,0,4,9,3,1,Sad,4,3341
22-01-2024,3,1,7,2,1,Sad,3,8520
23-01-2024,3,1,7,4,0,Average,4,4148
24-01-2024,6,0,5,6,1,Happy,4,4000
25-01-2024,6,1,5,4,1,Sad,3,5748
26-01-2024,2,2,8,5,0,Happy,6,10133
27-01-2024,0,1,9,3,1,Happy,6,8270
28-01-2024,0,3,8,2,0,Average,3,10294
29-01-2024,3,2,6,3,0,Busy,3,3688
30-01-2024,3,3,7,5,1,Average,4,5201
31-01-2024,6,1,5,4,0,Busy,2,9355
01-02-2024,6,1,5,3,0,Busy,2,3684
02-02-2024,3,3,6,4,1,Happy,4,4000
03-02-2024,0,4,8,5,1,Happy,5,3500
04-02-2024,0,2,8,4,1,Average,3,4966
05-02-2024,3,6,7,3,0,Busy,4,5060
06-02-2024,3,5,6,5,1,Average,3,9642
07-02-2024,6,5,4,7,1,Sad,2,2000
08-02-2024,6,4,4,6,1,Happy,4,1500
09-02-2024,3,3,8,7,0,Sad,1,2841
10-02-2024,0,0,7,2,0,Sad,2,9176
11-02-2024,0,0,6,2,1,Happy,4,6284
12-02-2024,3,1,7,3,1,Average,3,1048
13-02-2024,3,2,8,9,0,Happy,5,9901
14-02-2024,6,0,6,8,1,Average,3,6283
15-02-2024,6,1,6,6,1,Average,3,5164
16-02-2024,3,4,9,3,1,Sad,1,4870
17-02-2024,0,5,9,4,1,Average,3,12692
18-02-2024,0,4,9,5,0,Happy,4,6423
19-02-2024,0,2,7,5,1,Average,3,4120
