Date,Zoom,Study,Sleep,Water Bottle,Listening music,Day (Overall),Happiness,Steps
08-01-2024,3,1,6,3,0,Happy,5,15990
09-01-2024,3,2,6,2,1,Confused,4,10185
10-01-2024,6,1,5,4,0,Busy,5,6047
11-01-2024,6,2,5,5,0,Busy,4,8193
12-01-2024,2,4,7,7,1,Average,4,6000
13-01-2024,0,0,8,2,1,Sad,1,7000
14-01-2024,0,2,8,6,1,Happy,2,7330
15-01-2024,3,1,6,6,1,Sad,3,12711
16-01-2024,3,3,6,4,1, Average,3,7212
17-01-2024,6,0,4,8,1,Busy,5,6249
18-01-2024,6,0,5,8,0,Busy,3,8114
19-01-2024,2,5,6,4,1,Happy,2,5181
20-01-2024,0,4,8,3,1,Happy,5,3982
21-01-2024,0,4,9,3,1,Sad,4,3341
22-01-2024,3,1,7,2,1,Sad,3,8520
